cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
n16,0,9,0,6,8,8,2,8,7,10,1,9,6,2,2,1,6,0,10,4,0,3,8,1,3,2,8,10,10,10
n15,0,9,0,6,8,8,2,8,7,10,1,9,6,2,2,1,6,0,10,4,0,3,8,1,3,2,8,10,10,10
n18,10,9,3,6,8,8,2,8,7,10,1,9,6,2,2,1,6,1,10,4,2,3,8,0,3,2,8,10,10,10
n17,10,9,0,6,8,8,2,8,7,10,1,9,6,2,2,1,6,1,10,4,2,3,8,7,3,2,8,10,10,10
n22,6,9,0,6,8,8,2,8,7,10,1,9,6,0,2,1,6,0,10,4,5,3,8,1,3,2,7,10,10,10
n21,6,9,0,6,8,8,2,8,7,10,1,9,6,0,2,1,6,0,10,4,5,3,8,1,3,2,7,10,10,10
n24,6,9,0,6,8,8,2,8,7,10,1,9,6,5,2,1,6,3,10,4,5,3,8,1,3,2,7,10,10,10
n23,6,9,0,6,8,8,2,8,7,10,1,9,6,0,2,1,6,0,10,4,5,3,8,1,3,2,7,10,10,10
n30,6,9,0,6,8,8,2,8,7,10,0,9,6,9,2,1,6,0,0,4,9,3,8,10,3,2,0,10,10,10
n29,6,9,0,6,8,8,2,8,7,10,9,9,6,6,2,1,6,0,0,4,9,3,8,10,3,2,0,10,10,10
n32,6,9,0,6,8,8,2,8,7,10,0,9,6,5,2,1,6,3,0,4,9,3,8,10,3,2,0,10,10,10
n31,6,9,0,6,8,8,2,8,7,10,0,9,6,0,2,1,6,0,0,4,9,3,8,10,3,2,0,10,10,10
n36,6,9,7,6,8,8,2,8,7,10,8,9,6,10,2,1,6,0,4,4,9,3,8,8,3,2,0,10,10,10
n35,6,9,7,6,8,8,2,8,7,10,0,9,6,0,2,1,6,0,0,4,9,3,8,8,3,2,0,10,10,10
n38,6,9,0,6,8,8,2,8,7,10,0,9,6,0,2,1,6,7,0,4,9,3,8,0,3,2,0,10,10,10
n37,6,9,0,6,8,8,2,8,7,10,0,9,6,0,2,1,6,7,0,4,9,3,8,3,3,2,1,10,10,10
n46,1,9,7,6,8,8,2,8,7,10,1,9,6,0,2,0,6,9,4,4,0,3,8,2,3,2,0,0,10,10
n45,1,9,7,6,8,8,2,8,7,10,0,9,6,0,2,0,6,9,4,4,0,3,8,2,3,2,3,9,10,10
n48,1,9,7,6,8,8,2,8,7,10,0,9,6,0,2,0,6,9,4,4,0,3,8,2,3,2,0,0,10,10
n47,1,9,7,6,8,8,2,8,7,10,0,9,6,0,2,0,6,9,4,4,0,3,8,2,3,2,0,0,10,10
n52,1,9,0,6,8,8,2,8,7,10,0,9,6,0,2,10,6,9,2,4,6,3,8,2,3,2,3,0,10,10
n51,1,9,0,6,8,8,2,8,7,10,0,9,6,0,2,10,6,9,2,4,6,3,8,2,3,2,3,4,10,10
n54,1,9,0,6,8,8,2,8,7,10,1,9,6,5,2,10,6,9,0,4,6,3,8,2,3,2,0,0,10,10
n53,1,9,4,6,8,8,2,8,7,10,1,9,6,5,2,10,6,9,0,4,6,3,8,2,3,2,0,9,10,10
n60,1,9,6,6,8,8,2,8,7,10,9,9,6,8,0,0,6,9,10,4,8,3,8,2,3,2,0,10,10,10
n59,1,9,7,6,8,8,2,8,7,10,9,9,6,8,0,0,6,9,10,4,8,3,8,2,3,2,7,10,10,10
n62,1,9,0,6,8,8,2,8,7,10,7,9,6,0,4,10,6,9,10,4,3,3,8,2,3,2,0,10,10,10
n61,1,9,0,6,8,8,2,8,7,10,7,9,6,0,4,0,6,9,10,4,3,3,8,2,3,2,0,10,10,10
n66,1,9,0,6,8,8,2,8,7,10,0,9,6,7,1,2,6,9,0,4,0,3,8,2,3,2,4,10,10,10
n65,1,9,0,6,8,8,2,8,7,10,0,9,6,7,1,2,6,9,0,4,0,3,8,2,3,2,4,10,10,10
